186.2058,177.3627,176.0763,175.4797,170.3849,162.0598,156.9903,151.9208,147.8613,145.6475,147.8613,151.6463,134.0874,130.3911,127.5598,124.5461,124.8288,122.6150,124.8288,126.7145,128.3885,126.1747,124.3367,126.6620,129.1666,128.7697,131.2114,135.0452,138.2233,141.0395,145.1903,149.3411,152.8848,157.6885,162.0264,166.6456,171.6284,171.8926,173.8742,176.4369,180.5877,189.5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.4943,174.7824,172.9708,168.2589,163.1894,158.6650,151.2415,146.5296,142.7446,140.3029,142.7446,146.2441,133.5275,123.7956,120.9968,117.2703,115.1898,117.2703,117.9912,120.0718,123.5192,120.8301,118.7228,120.8301,124.2687,122.8748,124.9821,128.2283,131.4244,135.3904,139.1525,143.4905,147.3654,151.9846,156.6038,162.4490,163.7102,164.9360,167.6875,171.2964,176.5314,181.9189,416.4369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.7806,174.5080,172.1101,167.4910,156.2184,151.3243,146.1706,141.1877,136.8498,134.4080,136.8498,140.7247,136.4046,118.1770,115.8564,112.2475,110.1669,112.2475,112.9684,115.2937,118.6459,115.9607,113.6353,115.9607,115.9842,117.7874,120.2890,123.0879,126.5265,130.6114,133.3464,137.1173,141.9210,146.4467,151.2504,155.6769,155.7916,158.2932,162.1681,166.5061,171.8192,176.8887,275.6973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.7865,176.2629,171.4105,170.2625,150.0870,145.4679,140.4850,135.4155,131.2647,128.5132,131.2647,113.0614,110.7361,113.0614,110.9822,107.3040,105.1441,107.3040,107.3545,110.1060,113.0320,110.1020,108.0214,110.1020,109.1853,111.7479,115.1486,118.4234,121.8620,125.0098,128.3679,131.9769,136.6888,141.3080,145.6138,148.6942,149.7521,152.1351,156.3793,161.2734,166.4270,176.1208,260.7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.1643,175.6385,174.4002,175.6385,143.1051,139.7593,133.6323,129.0888,124.7520,121.8705,124.7520,107.5639,105.1222,107.5639,105.8948,102.1985,99.9295,102.1985,100.7117,104.5586,108.4335,105.9286,102.9986,100.5569,102.9986,106.6075,110.1305,113.4506,115.8336,119.6186,123.2275,127.1025,131.9641,136.3960,138.1773,140.9288,143.9992,147.3550,151.9742,156.5934,164.1111,169.3040,258.3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.4787,178.3197,177.1717,178.3197,136.1687,131.6817,126.6613,121.7672,117.6654,114.9139,117.6654,101.6103,99.2273,97.7417,95.5513,96.3597,94.4518,91.9501,91.4245,89.3472,91.5071,92.1664,94.7340,94.6620,96.9310,102.7521,105.1351,107.6977,111.0536,114.5545,117.8293,122.1260,126.1840,129.5118,131.5345,133.8035,138.0090,142.9798,147.4118,152.0309,157.0138,162.0832,261.1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180.7730,179.7182,176.6556,129.5893,124.9701,120.2582,115.4545,111.0226,108.2711,105.7966,95.6882,93.4744,91.9887,89.9374,90.7458,87.8642,85.9107,86.4016,84.1327,83.2361,85.6779,87.6183,89.1842,91.6859,96.5654,98.9483,102.5573,106.6153,109.8900,113.1648,116.3703,118.9949,123.3329,126.0568,128.4397,137.3720,141.6162,146.7404,151.3312,156.2590,161.3154,249.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,180.3365,179.2584,128.8896,116.1097,113.0960,114.7832,105.5033,101.6283,98.6809,90.4551,88.1298,86.9013,84.4596,82.0766,80.9076,79.8712,80.7622,78.6549,77.3413,79.9660,80.8194,83.1448,86.3378,90.8124,94.1683,97.8646,102.0154,105.4789,108.3604,110.0338,112.5964,117.1222,120.3038,123.6597,132.2734,137.7969,142.0437,146.0768,150.6025,155.5853,188.1158,184.2403,188.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,196.1139,130.5364,110.0644,105.8202,101.4062,97.7239,94.3168,91.5652,84.8988,82.5158,82.1213,78.7654,76.3237,74.7209,73.8317,71.7244,73.5675,71.0048,73.5675,75.2055,77.5885,81.1974,85.1634,90.6585,93.8722,96.7492,98.5223,101.1594,103.8471,107.4560,112.1679,115.5238,119.5818,124.8168,130.6203,135.3322,139.7641,144.3833,149.6183,158.8570,174.8842,178.9829,180.7031,184.2510,187.9105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,374.3017,180.1145,127.4354,104.4337,99.9080,95.7571,91.7911,88.1088,84.9225,80.1188,76.7629,74.3165,71.9911,70.4288,68.8261,68.7969,66.6370,64.4981,64.8181,67.3197,69.4526,71.7215,75.7796,79.4249,82.9001,87.0008,89.3127,91.7234,94.6708,98.4234,106.9093,111.4542,115.0155,118.9671,124.0239,128.3041,131.2515,135.7773,140.3964,145.4659,150.9895,164.9891,167.9928,171.8682,175.4161,178.8914,213.3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,256.8167,174.3344,170.2763,99.0448,94.5191,90.2749,86.3999,82.6149,79.1477,74.7158,70.8408,68.6270,66.3772,64.8149,62.4896,64.2533,61.4225,59.1535,58.7786,61.1040,63.9748,67.1702,68.4103,71.0350,75.9291,78.7659,81.3941,84.6078,87.9065,92.2445,99.0378,109.1219,113.0874,117.2367,118.4369,121.1885,125.3393,129.8650,134.6687,139.7382,145.1256,155.0941,158.6367,162.1119,167.0262,171.9204,181.8997,185.3749,428.7686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.0035,183.1963,179.8531,173.7197,172.7112,98.3593,90.9166,86.7657,84.0142,77.0544,73.6538,70.4499,65.8308,63.2824,60.8994,58.7395,56.8757,56.9635,56.1174,53.6757,53.1647,55.4337,58.0641,59.9666,62.0739,65.3424,68.2078,70.6883,73.6357,77.1620,81.5939,86.7476,91.8170,99.5486,105.1330,108.8468,111.7942,115.6691,120.0071,124.8108,129.7936,134.7765,139.7593,146.4036,150.2468,154.9460,159.9289,164.9983,173.5098,175.3637,181.9344,287.9050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.3130,175.2777,171.6182,175.2777,150.3057,109.8440,90.2878,81.2464,77.3715,72.0364,68.5133,64.9044,60.5664,58.2723,55.9079,53.5250,51.3979,50.6270,50.1381,47.7809,47.6869,49.6676,52.1692,54.8791,56.3052,58.3858,59.9729,63.5726,67.3239,71.3819,76.3647,82.0990,87.6835,92.5776,97.5659,101.7311,105.8819,110.0327,115.1864,120.2559,125.6433,130.5374,135.4315,139.9573,144.2015,148.6334,153.3453,164.2305,169.0342,171.6449,175.8891,222.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.8244,163.8770,162.7833,166.6089,144.1769,106.8818,82.5322,76.0160,72.2310,68.6221,65.2662,60.2765,56.1257,53.0080,50.3330,47.7720,45.5031,43.9842,42.0605,41.1381,41.7921,43.6281,46.1298,49.7387,51.2824,48.8406,51.2824,56.3518,60.7679,65.8374,71.4775,77.2118,82.7962,86.3673,90.9865,95.4184,101.5091,106.8778,111.8606,116.7548,122.1422,127.1250,131.5569,136.7106,141.8643,146.8471,152.6316,158.8012,163.1392,167.6649,172.6477,213.1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.8988,156.7614,153.5477,156.7614,143.3465,111.3961,78.0527,74.2677,70.5714,67.0484,59.8750,56.0900,51.4777,47.6927,44.6714,42.1971,40.0253,37.9447,36.4466,34.3393,34.9932,37.5887,40.3402,39.3758,40.8653,42.9458,46.3845,50.0233,54.4552,59.7683,65.4084,71.2542,76.9731,80.8480,85.3737,90.0857,94.7976,99.7804,104.7633,109.9169,115.2300,120.3837,125.3665,130.7540,136.3384,141.4079,146.7210,151.7038,162.4821,166.9794,171.8930,180.7036,184.3033,447.9796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.1187,150.0607,145.7893,106.0581,102.6471,106.0581,73.5972,68.9780,64.8272,62.1396,59.3017,50.9496,47.3406,43.4657,40.4980,37.5680,35.0024,32.9219,31.6131,29.2518,28.1944,30.9459,31.9700,33.7619,35.8424,38.1658,41.0622,44.7584,49.4704,54.9939,60.7660,66.4562,70.7942,78.4126,82.6152,87.4189,93.3989,98.9225,104.0085,109.1363,114.4252,119.6030,124.6117,129.8467,135.1598,140.0539,144.2047,150.9490,156.1840,161.1669,165.8788,172.0131,177.0825,187.1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
